,building_name,building_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,property_story,walking_score,transit_score,bike_score,building_description,building_website
0,"""33-51 157th St""","""$1,588,000""","""4Beds""","""3Baths""",NA,"""Flushing,NY""","""Single Family Residential""","""2,750""","""2.5""","""92""","""61""","""56""","""Commuters dream, Tudor Colonial on a quiet tree-lined street near Broadway Flushing part of NYS historic district. Amazing features like a wood-burning fireplace in the living room, New Eat-in Kitchen with Thermador stainless steel appliances & Formal Dining room. Nice size bedrooms with three updated gorgeous bathrooms and plenty of closet space. Enclosed Porch, office/den, and Fully finished Rec room for your enjoyment. New GAF Architectural roof, Marvin windows, and lawn sprinkler system. Large lot with Long Private Driveway & Detached two car Garage. Accessible to Public Transportation, LIRR train station, Bus Stop on Northern Blvd. Close to Everything: Shopping Strip Mall, Library, Supermarkets, Restaurants, Banks, Schools & Park.""",https://www.redfin.com/NY/Flushing/33-51-157th-St-11354/home/20850104
1,"""67-11 223rd Pl Unit B""","""$329,000""","""2Beds""","""1Bath""",NA,"""Bayside,NY""","""Condo/Co-op""",NA,—,"""81""","""52""","""63""","""Second floor 2 bedroom, 1 bath nestled on largest courtyard in the complex. The kitchen features block counter and stainless steel appliances including a dishwasher. Beautiful hardwood floors, high-end windowed bath, bonus attic for storage. Pets welcome! No flip tax. May sublet after 2 years. Nearby schools, shops & restaurants. Close to local and express buses, shopping & Alley Pond Park.""",https://www.redfin.com/NY/Oakland-Gardens/67-11-223rd-Pl-11364/unit-B/home/39932798
2,"""935 Pacific St #101""","""$880,000""","""1Bed""","""1.5Baths""",NA,"""Brooklyn,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/Brooklyn/935-Pacific-St-11238/unit-101/home/40669908
3,"""245-49 76th Ave Unit B""","""$299,999""","""1Bed""","""1Bath""",NA,"""Bellerose,NY""","""Condo/Co-op""",NA,—,"""69""","""45""","""55""","""Glen Oaks Village, South facing upper corner diamond 1 Bedroom, 1 Bath unit with  private entrance, spacious living rm, a windowed dining room and kitchen with an eat-in counter equipped with a dishwasher. A corner large bedroom surrounded by windows, with double closets. The bonus feature in the unit is a personal stacked washer/dryer and an attic for additional storage.  The attic can be converted to a loft or a third floor.  There is private security patrolling the property 24/7, access to 2 tennis courts, a 3-wall outdoor racquetball court, one bocce court, six playgrounds, a community room available for parties, and a dog park.  It is located in the heart of School District 26 Ideally situated by major highways, the Q46 or the QM1 express bus, the Little Neck or Douglaston LIRR stations, a 35-minute commute to/f Manhattan.  Maintenance includes utilities (except electricity) and real estate taxes. Private parking is available at $25/year. No Flip Tax Can Sublet After 2 Years.""",https://www.redfin.com/NY/Jamaica/245-49-76th-Ave-11426/unit-B/home/21454991
4,"""Unit at 220 E 65th St""","""$899,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""","""605""","""26""","""100""","""100""","""83""","""The unit will be delivered vacant OPTION TO PURCHASE WITH TENANT IN PLACE AND/OR FURNISHED. One bedroom in a prime location on the Upper East Side/Lenox Hill, in the full-service Concorde Condominium. The living room boasts natural sunlight with North exposure; garden and street views. Full galley style kitchen with dishwasher and plenty of cabinets for storage. New windows and floors refinished, in 2017/18. A private circular driveway leads into the elegant lobby. Great family-friendly amenities including a full-service 24-hour staff, a rooftop fitness center, a heated indoor pool, a rooftop deck, landscaped garden, children's playroom, storage units, on-site cleaner, and bike and laundry rooms. Located in the heart of the Upper East Side, the location is convenient for all transportation and surrounded by shopping and restaurants. Close to the new subway station on 63rd, St. Residents only park with a waterfall on the North-west side of the building.""",https://www.redfin.com/NY/New-York/220-E-65th-St-10065/home/45286492
5,"""Unit at 416 W 52nd St""","""$1,488,000""","""2Beds""","""1.5Baths""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/416-W-52nd-St-10019/home/114790068
6,"""196-15 Mclaughlin Ave""","""$1,699,999""","""4Beds""","""2.5Baths""",NA,"""Holliswood,NY""","""Single Family Residential""","""2,038""","""2.5""","""38""","""66""","""38""","""First Time On The Market! One Of A Kind Colonial In The Heart Of Holliswood! Beautifully Appointed Rooms With Hardwood Floors Throughout. Oversized Den With Vaulted Ceiling And Wood Burning Fireplace. Fully Finished Lower Level. Deep Back Yard, Plenty Of Room For A Pool. Near Cunningham Park, St Johns University, Shopping And Transportation.""",https://www.redfin.com/NY/Jamaica/196-15-McLaughlin-Ave-11423/home/20753490
7,"""Unit at 61 Horatio St""","""$950,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""99""","""100""","""96""","""Impeccably well-maintained boutique co-op located on one of the best tree-lined blocks in the Far West Village. Renovated one bedroom, one bathroom home features a private street entrance, split ductless central air system, and custom build in storage. The beautiful common rooftop garden boasts Hudson River views, an ivy lined pergola, and outdoor furniture for entertaining on the ground floor private patio. The building features a live-in superintendent, bike storage, basement storage, laundry room, and low maintenance fees. Co-op policies allow pets, co-purchases, pieds-a-terre, gifting, subletting, and parents buying for children all allowed with board approval. Only two blocks to the Hudson River Greenway and West Side Highway and around the corner from a multitude of public transportation options.""",https://www.redfin.com/NY/New-York/61-Horatio-St-10014/home/45166429
8,"""235 E 22 St Unit 16T""","""$799,000""","""1Bed""","""1Bath""",NA,"""New York,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/New-York/235-E-22nd-St-10010/unit-16T/home/45147171
9,"""13-16 130th St""","""$998,888""","""4Beds""","""3Baths""",NA,"""College Point,NY""","""Multi-Family (2-4 Unit)""","""1,388""","""2""","""91""","""58""","""46""","""Immaculate Legal 2 Family In The Heart Of College Point. Three Over Two. Fully Finished Lower Level With Separate Outside Entrance. Newer Roof, Heating, And Electric. Near Transportation And Powell's Cove Park.""",https://www.redfin.com/NY/Flushing/13-16-130th-St-11356/home/20874855
